match_id,tournament_id,venue_id,match_date,team_1,team_2,toss_winner,toss_decision,player_of_match,match_winner,match_win_by_runs,match_win_by_wickets,highlights_url,match_url,match_description
189,5,11,['2020-10-31'],359,103,103,field,2920,103,NA,5,NA,NA,NA
190,5,24,['2020-10-01'],336,479,479,field,9370,336,48,NA,NA,NA,NA
191,5,20,['2020-09-30'],69,60,60,field,2716,69,37,NA,NA,NA,NA
192,5,24,['2020-11-02'],359,536,536,field,8723,536,NA,6,NA,NA,NA
193,5,24,['2020-11-01'],479,531,531,field,2365,531,NA,9,NA,NA,NA
194,5,20,['2020-10-11'],103,60,103,bat,2997,60,NA,5,NA,NA,NA
195,5,24,['2020-09-23'],336,69,69,field,2818,336,49,NA,NA,NA,NA
196,5,11,['2020-10-17'],531,536,531,bat,2237,536,NA,5,NA,NA,NA
197,5,20,['2020-09-24'],479,359,359,field,2974,479,97,NA,NA,NA,NA
198,5,24,['2020-10-06'],336,60,336,bat,3291,336,57,NA,NA,NA,NA
199,5,24,['2020-10-18'],69,103,103,field,1788,TIE,NA,NA,NA,NA,NA
200,5,20,['2020-10-04'],479,531,479,bat,8034,531,NA,10,NA,NA,NA
201,5,24,['2020-10-03'],60,359,60,bat,2288,359,NA,8,NA,NA,NA
202,5,11,['2020-10-03'],536,69,69,field,2413,536,18,NA,NA,NA,NA
203,5,20,['2020-10-02'],103,531,103,bat,2354,103,7,NA,NA,NA,NA
204,5,20,['2020-10-18'],336,479,336,bat,2974,TIE,NA,NA,NA,NA,NA
205,5,20,['2020-10-22'],60,103,103,field,2870,103,NA,8,NA,NA,NA
206,5,20,['2020-10-05'],536,359,359,field,2801,536,59,NA,NA,NA,NA
207,5,11,['2020-10-26'],69,479,479,field,9246,479,NA,8,NA,NA,NA
208,5,11,['2020-10-23'],531,336,336,field,1698,336,NA,10,NA,NA,NA
209,5,20,['2020-10-17'],60,359,60,bat,8304,359,NA,7,NA,NA,NA
210,5,24,['2020-10-10'],69,479,69,bat,2485,69,2,NA,NA,NA,NA
211,5,20,['2020-10-27'],103,536,536,field,2954,103,88,NA,NA,NA,NA
212,5,20,['2020-10-10'],359,531,359,bat,2422,359,37,NA,NA,NA,NA
213,5,24,['2020-10-16'],69,336,69,bat,8310,336,NA,8,NA,NA,NA
214,5,11,['2020-09-27'],479,60,60,field,2926,60,NA,4,NA,NA,NA
215,5,20,['2020-10-13'],531,103,531,bat,2481,531,20,NA,NA,NA,NA
216,5,24,['2020-10-11'],536,336,536,bat,8310,336,NA,5,NA,NA,NA
217,5,20,['2020-11-01'],69,60,60,field,7261,69,60,NA,NA,NA,NA
218,5,11,['2020-10-15'],359,479,359,bat,2974,479,NA,8,NA,NA,NA
219,5,24,['2020-09-29'],103,536,536,field,3949,103,15,NA,NA,NA,NA
220,5,24,['2020-10-19'],531,60,531,bat,5203,60,NA,7,NA,NA,NA
221,5,20,['2020-09-21'],359,103,103,field,2288,359,10,NA,NA,NA,NA
222,5,20,['2020-10-31'],536,336,336,field,2419,336,NA,9,NA,NA,NA
223,5,20,['2020-10-29'],69,531,531,field,2365,531,NA,6,NA,NA,NA
224,5,24,['2020-10-30'],479,60,60,field,6482,60,NA,7,NA,NA,NA
225,5,11,['2020-10-04'],336,103,336,bat,1698,336,34,NA,NA,NA,NA
226,5,20,['2020-09-25'],536,531,531,field,2728,536,44,NA,NA,NA,NA
227,5,11,['2020-10-12'],359,69,359,bat,8304,359,82,NA,NA,NA,NA
228,5,24,['2020-10-25'],336,60,336,bat,6482,60,NA,8,NA,NA,NA
229,5,20,['2020-10-08'],103,479,103,bat,5482,103,69,NA,NA,NA,NA
230,5,20,['2020-10-14'],536,60,536,bat,8723,536,13,NA,NA,NA,NA
231,5,20,['2020-10-25'],359,531,359,bat,2365,531,NA,8,NA,NA,NA
232,5,24,['2020-09-26'],103,69,103,bat,2702,69,NA,7,NA,NA,NA
233,5,20,['2020-10-20'],536,479,536,bat,2237,479,NA,5,NA,NA,NA
234,5,20,['2020-09-28'],359,336,336,field,8304,TIE,NA,NA,NA,NA,NA
235,5,20,['2020-11-05'],336,536,536,field,2125,336,57,NA,NA,NA,NA
236,5,24,['2020-11-06'],359,103,103,field,2049,103,NA,6,NA,NA,NA
237,5,24,['2020-11-08'],536,103,536,bat,7861,536,17,NA,NA,NA,NA
238,5,20,['2020-11-10'],536,336,536,bat,1698,336,NA,5,NA,NA,NA
239,5,2,['2008-04-18'],359,69,359,field,1916,69,140,NA,NA,NA,NA
240,5,3,['2008-04-19'],479,531,531,bat,7421,531,33,NA,NA,NA,NA
241,5,1,['2008-04-19'],238,60,60,bat,4640,238,NA,9,NA,NA,NA
242,5,25,['2008-04-20'],336,359,336,bat,8084,359,NA,5,NA,NA,NA
243,5,23,['2008-04-20'],69,144,144,bat,7427,69,NA,5,NA,NA,NA
244,5,12,['2008-04-21'],60,479,479,bat,8034,60,NA,6,NA,NA,NA
245,5,31,['2008-04-22'],144,238,144,bat,2829,238,NA,9,NA,NA,NA
246,5,33,['2008-04-23'],531,336,336,field,7529,531,6,NA,NA,NA,NA
247,5,31,['2008-04-24'],144,60,60,field,2759,60,NA,3,NA,NA,NA
248,5,3,['2008-04-25'],479,336,336,field,4946,479,66,NA,NA,NA,NA
249,5,2,['2008-04-26'],359,60,60,field,8034,60,NA,7,NA,NA,NA
250,5,33,['2008-04-26'],531,69,69,bat,1935,531,NA,9,NA,NA,NA
251,5,34,['2008-04-27'],336,144,144,field,7504,144,NA,10,NA,NA,NA
252,5,3,['2008-04-27'],479,238,238,bat,7713,479,NA,4,NA,NA,NA
253,5,2,['2008-04-28'],359,531,531,bat,2235,531,13,NA,NA,NA,NA
254,5,23,['2008-04-29'],69,336,69,bat,4468,336,NA,7,NA,NA,NA
255,5,1,['2008-04-30'],238,359,359,field,7731,238,10,NA,NA,NA,NA
256,5,31,['2008-05-01'],144,479,479,field,7653,479,NA,7,NA,NA,NA
257,5,12,['2008-05-01'],60,69,60,bat,2076,60,45,NA,NA,NA,NA
258,5,33,['2008-05-02'],531,238,531,bat,2829,238,NA,8,NA,NA,NA
259,5,31,['2008-05-25'],144,359,144,bat,3019,359,NA,5,NA,NA,NA
260,5,3,['2008-05-03'],479,69,479,bat,2760,479,9,NA,NA,NA,NA
261,5,34,['2008-05-04'],336,238,238,field,8782,336,29,NA,NA,NA,NA
262,5,12,['2008-05-04'],60,531,531,bat,3792,60,NA,8,NA,NA,NA
263,5,2,['2008-05-05'],359,479,479,field,2658,479,NA,6,NA,NA,NA
264,5,33,['2008-05-06'],531,144,144,field,7504,144,NA,7,NA,NA,NA
265,5,34,['2008-05-07'],336,60,336,field,2603,336,NA,7,NA,NA,NA
266,5,1,['2008-05-08'],238,531,531,field,2235,531,NA,4,NA,NA,NA
267,5,23,['2008-05-08'],69,359,69,bat,2358,69,5,NA,NA,NA,NA
268,5,12,['2008-05-09'],60,144,60,field,2759,60,NA,8,NA,NA,NA
269,5,2,['2008-05-28'],359,336,336,field,4354,336,NA,9,NA,NA,NA
270,5,33,['2008-05-10'],531,479,479,field,2206,531,18,NA,NA,NA,NA
271,5,31,['2008-05-11'],144,69,69,bat,2358,69,23,NA,NA,NA,NA
272,5,12,['2008-05-11'],60,238,60,field,8034,60,NA,3,NA,NA,NA
273,5,3,['2008-05-12'],479,359,359,bat,7653,479,NA,9,NA,NA,NA
274,5,23,['2008-05-13'],69,238,69,bat,3813,69,23,NA,NA,NA,NA
275,5,25,['2008-05-14'],336,531,336,field,4468,336,NA,9,NA,NA,NA
276,5,3,['2008-05-28'],479,60,60,field,7653,479,41,NA,NA,NA,NA
277,5,1,['2008-05-15'],238,144,144,field,1586,238,12,NA,NA,NA,NA
278,5,25,['2008-05-16'],336,69,336,field,8782,336,NA,8,NA,NA,NA
279,5,1,['2008-05-17'],238,479,238,bat,4463,479,6,NA,NA,NA,NA
280,5,12,['2008-05-17'],60,359,359,field,8896,60,65,NA,NA,NA,NA
281,5,31,['2008-05-18'],144,336,144,field,9129,336,25,NA,NA,NA,NA
